node_id,activation_time_ms
688,144.6368
689,152.9542
690,146.3053
691,161.8965
692,154.7225
693,150.6818
694,148.0128
695,172.4675
696,160.1432
697,156.0842
698,147.2208
699,156.6091
700,151.2047
701,162.4215
702,166.7454
703,165.4730
704,141.6189
705,157.0966
706,139.9477
707,159.5181
708,144.3413
709,152.2808
710,170.1827
711,167.7191
712,161.4440
713,153.3822
714,162.7086
715,153.8007
716,173.1566
717,156.7266
718,151.9456
719,164.1451
720,152.8281
721,141.6266
722,156.5862
723,167.1923
724,153.0004
725,148.0912
726,149.4005
727,150.7300
728,151.0509
729,153.6534
730,163.3829
731,151.6840
732,174.1143
733,163.7088
734,151.2326
735,147.9149
736,159.7715
737,168.0950
738,154.2576
739,166.3984
740,168.9187
741,169.2645
742,153.9146
743,161.5611
744,177.8112
745,146.8718
746,153.8243
747,157.4108
748,153.6774
749,142.8424
750,165.7616
751,142.6194
752,151.7598
753,153.7329
754,150.1325
755,146.8870
756,150.9914
757,168.7546
758,160.4238
759,143.4998
760,161.3623
761,164.5275
762,174.5166
763,162.5975
764,174.0760
765,160.0045
766,158.2713
767,162.5774
768,167.5258
769,161.8402
770,147.4170
771,177.9386
772,142.9672
773,152.7455
774,141.8416
775,143.5962
776,163.1481
777,152.9291
778,139.2030
779,163.3437
780,170.5069
781,169.9073
782,165.5827
783,156.6153
784,162.8536
785,140.7755
786,168.2311
787,158.8782
788,147.8740
789,140.9202
790,161.0449
791,176.2073
792,158.6617
793,145.6187
794,158.1429
795,138.0454
796,168.5989
797,167.7332
798,154.4181
799,156.3932
800,163.1450
801,163.3645
802,155.1111
803,173.5772
804,151.9815
805,149.4628
806,167.5033
807,149.4467
808,153.4615
809,148.9285
810,138.0390
811,155.2994
812,144.3738
813,169.1047
814,156.6185
815,163.9512
816,147.8241
817,163.4889
818,157.9527
819,145.8373
820,148.7945
821,173.4894
822,169.2282
823,149.8150
824,160.6736
825,162.5222
826,167.1789
827,145.8546
828,170.6893
829,152.3846
830,166.5082
831,156.8119
832,173.0623
833,152.0362
834,152.5855
835,172.9132
836,164.0835
837,164.7990
838,175.6176
839,144.6579
840,158.4889
841,166.5264
842,149.8839
843,139.7317
844,149.1572
845,164.2405
846,178.2263
847,144.9087
848,147.5806
849,157.4229
850,149.0698
851,149.2800
852,143.3866
853,171.5201
854,149.8997
855,153.3357
856,170.1599
857,161.7039
858,148.7250
859,165.2210
860,151.0385
861,151.3601
862,162.7035
863,162.9753
864,148.1107
865,133.3178
866,150.7058
867,162.3819
868,172.7853
869,152.6306
870,152.9524
871,168.3189
872,167.5680
873,142.0345
874,163.9353
875,165.7295
876,157.7131
877,166.4892
878,166.2596
879,151.1163
880,167.5964
881,149.0259
882,165.6160
883,157.2513
884,135.0945
885,145.3928
886,156.9320
887,170.0439
888,162.8696
889,158.2703
890,154.6085
